# English-Italian dictionary created from Wikipedia database
# Created on: 2011-04-01T04:13:14+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
0 (number)	Zero
Crow	Corvus
Crucifixion	Crocifissione
Cruiser	Incrociatore
Crust (geology)	Crosta terrestre
Crustacean	Crustacea
Crux	Croce del Sud (costellazione)
Cryptography	Crittografia
Cryptography	Categoria:Crittologia
Crystal	Cristallo
Crystallography	Cristallografia
Crystallography	Categoria:Cristallografia
Ctenophore	Ctenophora
Cuba	Cuba
Cuba	Categoria:Cuba
Cube	Cubo
Cubic metre	Metro cubo
Cubism	Cubismo
Cucumber	Cucumis sativus
Cucurbitaceae	Cucurbitaceae
Cultural Revolution	Grande rivoluzione culturale
Culture	Cultura
Cumbria	Cumbria
Cumulus cloud	Cumulus
Cupressaceae	Cupressaceae
Curitiba	Curitiba
Curium	Curio
Curling	Curling
Currency	Categoria:Valute
Currency	Valuta
Curry	Masala
Curve	Curva (matematica)
Cusco	Cusco
Cyan	Ciano
Cyanide	Cianuro
Cyanobacteria	Cyanobacteria
Cybele	Cibele
Cybernetics	Cibernetica
Cyberpunk	Cyberpunk
Cyclades	Cicladi
Cycling	Ciclismo
Cycling	Categoria:Ciclismo
Cyclone	Ciclone
Cyclops	Ciclope (mitologia)
Cygnus (constellation)	Cigno (costellazione)
Cylinder (geometry)	Cilindro (geometria)
Cyperaceae	Cyperaceae
Cyprinid	Cyprinidae
Cypriniformes	Cypriniformes
Cyprus	Cipro
Cyprus	Categoria:Cipro
Cyrillic alphabet	Alfabeto cirillico
Cyrus the Great	Ciro II di Persia
Cystic fibrosis	Fibrosi cistica
Cytoplasm	Citoplasma
Cytosine	Citosina
Cytoskeleton	Citoscheletro
Czech Republic	Repubblica Ceca
Czech Republic	Categoria:Repubblica Ceca
Czechoslovakia	Cecoslovacchia
Czechoslovakia	Categoria:Cecoslovacchia
D	D
D. H. Lawrence	David Herbert Lawrence
D. W. Griffith	David Wark Griffith
DDT	Diclorodifeniltricloroetano
DNA	DNA
DVD	DVD
Dachshund	Bassotto
Dada	Dadaismo
Daedalus	Dedalo
Dagger	Daga (arma)
Daguerreotype	Dagherrotipia
Dahlia	Dahlia
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas
Dalmatia	Dalmazia
Dam	Diga
Damascus	Damasco
Dance	Danza
Dance	Categoria:Danza
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Corona danese
Dante Alighieri	Dante Alighieri
Danube	Danubio
Daphne	Dafne (mitologia)
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanelli
Darfur	Darfur
Darjeeling	Darjeeling (India)
Dark matter	Materia oscura
Darmstadtium	Darmstadtio
Darwin	Darwin (Australia)
Darwin	Darwin
Das Kapital	Il Capitale
Data	Dato
Data mining	Data mining
Data structure	Struttura dati
Database	Database
Database management system	Database management system
Date Palm	Phoenix dactylifera
Dative case	Dativo
Daugavpils	Daugavpils
David	Davide (Bibbia)
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Coppa Davis
Day	Giorno
Days	Categoria:Giorni dell'anno
De facto	De facto
Deacon	Diacono
Dead Sea	Mar Morto
Dead Sea scrolls	Manoscritti del Mar Morto
Deadly nightshade	Atropa belladonna
Death	Morte
Death	Categoria:Morte
Decade	Decennio
December	Dicembre
December 31	31 dicembre
December 8	8 dicembre
Decibel	Decibel
Decimal	Sistema numerico decimale
Decius (emperor)	Decio
Declination	Declinazione (astronomia)
Deco	Deco
Deconstruction	Decostruzionismo
Deductive reasoning	Deduzione
Deer	Cervidae
Definition	Definizione
Deflation	Deflazione
Degree	Grado
Degree (angle)	Grado (unità di misura)
Deimos (moon)	Deimos (astronomia)
Deism	Deismo
Delaware	Delaware
Delaware	Categoria:Delaware
Delft	Delft
Delhi	Delhi
Dell	Dell
Delphi	Delfi
Delphinus	Delfino (costellazione)
Delta	Delta
Delta (letter)	Delta (lettera)
Deluge (mythology)	Diluvio
Demagogy	Demagogia
Dementia	Demenza
Demeter	Demetra
Democracy	Democrazia
Democratic Party (United States)	Partito Democratico (Stati Uniti)
Democratic Republic of the Congo	Repubblica Democratica del Congo
Democratic Republic of the Congo	Categoria:Repubblica Democratica del Congo
Democritus	Democrito
Demography	Demografia
Demon	Demone
Demosthenes	Demostene
Deng Xiaoping	Deng Xiaoping
Dengue fever	Dengue
Denis Diderot	Denis Diderot
Denmark	Danimarca
Denmark	Categoria:Danimarca
Dennis Gabor	Dennis Gabor
Density	Densità
Dental caries	Carie dentaria
Dentistry	Categoria:Odontoiatria
Dentistry	Odontoiatria
Denver	Denver
Derivative	Derivata
Dermatology	Dermatologia
Des Moines	Des Moines
Desert	Deserto
Deserts	Categoria:Deserti
Desiderius Erasmus	Erasmo da Rotterdam
Design	Disegno Industriale
Design	Categoria:Design
Desmond Tutu	Desmond Tutu
Destroyer	Cacciatorpediniere
Determinant	Determinante
Determinism	Determinismo
Detroit	Detroit
Deuterium	Deuterio
Deuteronomy	Deuteronomio
Developmental psychology	Psicologia dello sviluppo
Device driver	Driver
Devon	Devon
Devonian	Devoniano
Dew	Rugiada
Dew point	Punto di rugiada
Dewey Decimal Classification	Classificazione decimale Dewey
Dhaka	Dacca
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Dhole	Cuon alpinus
Diabetes mellitus	Diabete mellito
Diacritic	Segno diacritico
Dialect	Dialetto
Dialectic	Dialettica (filosofia)
Dialectical materialism	Materialismo dialettico
Diameter	Diametro
Diamond	Diamante
Diana	Diana Spencer
Diana (mythology)	Diana (divinità)
Diarrhea	Diarrea
Diaspora	Diaspora
Diatom	Diatomee
Dice	Dado (gioco)
Dictatorship	Dittatura
Dictionary	Dizionario
Diego Rivera	Diego Rivera
Diesel	Gasolio
Diesel engine	Motore Diesel
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Equazione differenziale
Diffraction	Diffrazione (fisica)
Digestion	Digestione
Digestive system	Categoria:Apparato digerente
Digital	Digitale (informatica)
Digital camera	Fotocamera digitale
Digital photography	Fotografia digitale
Digital subscriber line	DSL
Dijon	Digione
Dill	Anethum graveolens
Dimension	Dimensione
Dingo	Canis lupus dingo
Dinosaur	Dinosauria
Diocese	Diocesi
Diocletian	Diocleziano
Diode	Diodo
Dionysus	Dioniso
Diphtheria	Difterite
Diphthong	Dittongo
Diplodocus	Diplodocus
Diplomacy	Diplomazia
Diplomacy	Categoria:Diplomazia
Dire Straits	Dire Straits
Direct current	Corrente continua
Disaccharide	Disaccaridi
Disambiguation	Categoria:Disambigua
Disc jockey	Disc jockey
Discrimination	Discriminazione
Disease	Malattia
Distance	Distanza
Distillation	Distillazione
Divergence	Divergenza
Division (mathematics)	Divisione (matematica)
Division (military)	Divisione (unità militare)
Divorce	Divorzio
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Categoria:Gibuti
Djibouti (city)	Gibuti (città)
Dmitri Mendeleev	Dmitrij Ivanovič Mendeleev
Dmitri Shostakovich	Dmitrij Dmitrievič Šostakovič
Dnieper River	Dnepr
Dnipropetrovsk	Dnipropetrovs'k
Doberman Pinscher	Dobermann
Doctor of the Church	Dottore della Chiesa
Document	Documento
Dodecahedron	Dodecaedro
Dodecanese	Dodecaneso
Dodo	Raphus cucullatus
Dodoma	Dodoma
Dog	Canis lupus familiaris
Dogma	Dogma
Doha	Doha
Dollar	Dollaro
Dolly (sheep)	Dolly (pecora)
Dolmen	Dolmen
Dolomite	Dolomite
Dolphin	Delfino
Domain (biology)	Dominio (biologia)
Dome	Cupola
Domesday Book	Domesday Book
Domestication	Addomesticamento
Dominica	Dominica
Dominica	Categoria:Dominica
Dominican Order	Ordine dei Frati Predicatori
Dominican Republic	Repubblica Dominicana
Dominican Republic	Categoria:Repubblica Dominicana
Domitian	Domiziano
Don Quixote	Don Chisciotte della Mancia
Don River (Russia)	Don (fiume russo)
Donald Duck	Paperino
Donatello	Donatello
Donato Bramante	Bramante
Donetsk	Donec'k
Donkey	Equus asinus
Door	Porta (architettura)
Dopamine	Dopamina
Doppler effect	Effetto Doppler
Dorado	Dorado (costellazione)
Doric order	Ordine dorico
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Double bass	Contrabbasso
Douglas MacArthur	Douglas MacArthur
Dover	Dover (Delaware)
Dover	Dover
Down syndrome	Sindrome di Down
Draco (constellation)	Dragone (costellazione)
Dracula	Dracula
Dragon	Drago
Drainage basin	Bacino idrografico
Drama	Dramma
Draughts	Dama
Dream	Sogno
Dresden	Dresda
Drink	Bevanda
Dromedary	Camelus dromedarius
Drought	Siccità
Drug addiction	Tossicodipendenza
Druid	Druido
Drum	Tamburo
Dualism	Dualismo
Dualism (philosophy of mind)	Dualismo
Dubai	Dubai
Dublin	Dublino
Dubnium	Dubnio
Dubrovnik	Ragusa (Croazia)
Duck	Anatra
Dugong	Dugong dugon
Duke	Duca
Duke Ellington	Duke Ellington
Duke University	Università di Duke
Dune	Duna
Dunkirk	Dunkerque
Duodenum	Duodeno
Durban	Durban
Dushanbe	Dušanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Categoria:Olandesi
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dinamica (fisica)
Dynamite	Dinamite
Dynasty	Dinastia
Dyslexia	Dislessia
Dysprosium	Disprosio
Dystopia	Distopia
E	E
E (mathematical constant)	E (costante matematica)
E-mail	E-mail
E. T. A. Hoffmann	Ernst Theodor Amadeus Hoffmann
ETA	Euskadi Ta Askatasuna
Ear	Orecchio
Eared seal	Otariidae
Earless seal	Phocidae
Earth	Terra
Earth	Categoria:Terra
Earth science	Scienze della Terra
Earthquake	Terremoto
East	Est
East Africa	Africa orientale
East China Sea	Mar Cinese orientale
East Germany	Repubblica Democratica Tedesca
East Sussex	East Sussex
East Timor	Timor Est
East Timor	Categoria:Timor Est
Easter	Pasqua
Eastern Orthodox Church	Chiesa cristiana ortodossa
Ebola	Ebola
Ebro	Ebro
Eccentricity (mathematics)	Eccentricità (matematica)
Ecclesiastes	Qoelet
Echidna	Tachyglossidae
Echidna (mythology)	Echidna (mitologia)
Echinoderm	Echinodermata
Eclipse	Eclissi
Eclipse (software)	Eclipse (informatica)
Ecliptic	Eclittica
Ecological niche	Nicchia ecologica
Ecology	Ecologia
Ecology	Categoria:Ecologia
Econometrics	Econometria
Economics	Economia
Economics	Categoria:Economia
Economy	Economia
Ecosystem	Ecosistema
Ecuador	Ecuador
Ecuador	Categoria:Ecuador
Ecumenical council	Concilio ecumenico
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edimburgo
Edirne	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo
Eduard Buchner	Eduard Buchner
Education	Educazione
Education	Categoria:Educazione
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edward the Confessor	Edoardo il Confessore
Edwin Hubble	Edwin Hubble
Eel	Anguilla (genere)
Egg (biology)	Uovo (biologia)
Eggplant	Solanum melongena
Egypt	Egitto
Egypt	Categoria:Egitto
Egyptian pound	Sterlina egiziana
Egyptology	Egittologia
Eiffel Tower	Torre Eiffel
Eindhoven	Eindhoven
Einsteinium	Einsteinio
Ejaculation	Eiaculazione
El Cid	El Cid
El Greco	El Greco
El Paso	El Paso (Texas)
El Salvador	El Salvador
El Salvador	Categoria:El Salvador
Elam	Elam
Elbe	Elba (fiume)
Eleanor Roosevelt	Eleanor Roosevelt
Election	Elezione
Electra	Elettra (mitologia Agamennone)
Electric charge	Carica elettrica
Electric current	Corrente elettrica
Electric field	Campo elettrico
Electric guitar	Chitarra elettrica
Electric motor	Motore elettrico
Electrical engineering	Categoria:Ingegneria elettrica
Electrical engineering	Elettrotecnica
Electrical resistance	Resistenza elettrica
Electricity	Elettricità
Electricity	Categoria:Elettricità
Electrocardiogram	Elettrocardiogramma
Electrochemistry	Elettrochimica
Electrochemistry	Categoria:Elettrochimica
Electrolysis	Elettrolisi
Electrolyte	Elettrolita
Electromagnetic radiation	Radiazione elettromagnetica
Electromagnetic spectrum	Spettro elettromagnetico
Electromagnetism	Elettromagnetismo
Electromagnetism	Categoria:Elettromagnetismo
Electron	Elettrone
Electron microscope	Microscopio elettronico
Electronegativity	Elettronegatività
Electronics	Elettronica
Electronics	Categoria:Elettronica
Elegy	Elegia
Element	Elemento
Elementary particle	Particella elementare
Elephant	Elephantidae
Elevator	Ascensore
Elf	Elfo
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	Elia
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Ellisse
Ellipsis	Punti di sospensione
Elm	Ulmus
Elvis Presley	Elvis Presley
Embryo	Embrione
Embryology	Embriologia
Emerald	Smeraldo
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emiro
Emma Goldman	Emma Goldman
Emoticon	Emoticon
Emotion	Emozione
Empathy	Empatia
Empedocles	Empedocle
Emperor	Imperatore
Emperor Penguin	Aptenodytes forsteri
Empire	Impero
Empire State Building	Empire State Building
Empiricism	Empirismo
Emu	Dromaius novaehollandiae
Emulator	Emulatore
Emulsion	Emulsione
Encyclopedia	Enciclopedia
Endemism	Endemismo
Endocrine system	Sistema endocrino
Endocrinology	Endocrinologia
Endocrinology	Categoria:Endocrinologia
Energy	Energia
Energy	Categoria:Energia
Energy (society)	Energia
Engine	Motore
Engineer	Ingegnere
Engineering	Ingegneria
Engineering	Categoria:Ingegneria
England	Inghilterra
England	Categoria:Inghilterra
English Channel	La Manica
English Civil War	Guerra civile inglese
English language	Lingua inglese
English language	Categoria:Lingua inglese
English people	Inglesi
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Categoria:Intrattenimento
Enthalpy	Entalpia
Entomology	Entomologia
Entomology	Categoria:Entomologia
Entropy	Entropia (termodinamica)
Environment	Categoria:Ambiente
Environment	Ambiente
Enzyme	Enzima
Eocene	Eocene
Eon (geology)	Eone
Eos	Eos
Ephesus	Efeso
Epic poetry	Poema epico
Epicenter	Epicentro
Epictetus	Epitteto
Epicurus	Epicuro
Epidemic	Epidemia
Epidemiology	Epidemiologia
Epigraphy	Epigrafia
Epilepsy	Epilessia
Epimetheus (mythology)	Epimeteo (mitologia)
Epinephrine	Adrenalina
Epiphany (Christian)	Epifania
Epirus (periphery)	Epiro
Epistemology	Epistemologia
Epistle to the Galatians	Lettera ai Galati
Epistle to the Romans	Lettera ai Romani
Epithelium	Tessuto epiteliale
Epsilon	Epsilon (lettera)
Equation	Equazione
Equator	Equatore
Equatorial Guinea	Guinea Equatoriale
Equatorial Guinea	Categoria:Guinea Equatoriale
Equidae	Equus
Equinox	Equinozio
Equisetum	Equisetum
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratostene di Cirene
Erbium	Erbio
Erebus	Erebo
Erectile dysfunction	Disfunzione erettile
Erection	Erezione
Ericaceae	Ericaceae
Ericales	Ericales
Eridanus (constellation)	Eridano (costellazione)
Erik Axel Karlfeldt	Erik Axel Karlfeldt
Erik Satie	Erik Satie
Eris (dwarf planet)	Eris (astronomia)
Eris (mythology)	Eris (mitologia)
Eritrea	Categoria:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Ernst Werner von Siemens
Eros (mythology)	Eros (mitologia)
Erosion	Erosione
Erotica	Erotismo
Erwin Rommel	Erwin Rommel
Escape velocity	Velocità di fuga
Eschatology	Escatologia
Escherichia coli	Escherichia coli
Esfahan	Esfahan
Esophagus	Esofago
Esperanto	Lingua esperanto
Esperanto	Categoria:Esperanto
Espionage	Spionaggio
Espoo	Espoo
Espresso	Caffè espresso
Essay	Saggio
Essen	Essen
Essential oil	Olio essenziale
Essex	Essex
Ester	Esteri
Estonia	Categoria:Estonia
Estrogen	Estrogeno
Eta (letter)	Eta (lettera)
Etching	Acquaforte
Ethane	Etano
Ethanol	Etanolo
Ether	Eteri
Ethernet	Ethernet
Ethics	Etica
Ethics	Categoria:Etica
Ethiopia	Etiopia
Ethiopia	Categoria:Etiopia
Ethnic group	Etnia
Ethnography	Etnografia
Ethnology	Categoria:Etnologia
Ethology	Etologia
Ethylene	Etene
Etymology	Etimologia
Eucalyptus	Eucalyptus
Eucharist	Eucaristia
Euclid	Euclide
Euclidean geometry	Geometria euclidea
Eugene O'Neill	Eugene Gladstone O'Neill
Eukaryote	Eukaryota
Eunuch	Eunuco
Euphemism	Eufemismo
Euphrates	Eufrate
Eurasia	Eurasia
Eurasian Badger	Meles meles
Euripides	Euripide
Euro	Euro
Europa (moon)	Europa (astronomia)
Europa (mythology)	Europa (mitologia)
Europe	Europa
Europe	Categoria:Europa
European Central Bank	Banca centrale europea
European Community	Comunità Europea
European Magpie	Pica pica
European Union	Unione europea
European Union	Categoria:Unione europea
Europium	Europio
Eusebius of Caesarea	Eusebio di Cesarea
Euterpe	Euterpe (musa)
Euthanasia	Eutanasia
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Evaporazione
Even-toed ungulate	Artiodactyla
Evolution	Evoluzione
Excalibur	Excalibur
Exchange rate	Tasso di cambio
Exclamation mark	Punto esclamativo
Excommunication	Scomunica
Executive (government)	Potere esecutivo
Exhibitionism	Esibizionismo
Existentialism	Esistenzialismo
Exodus	Libro dell'Esodo
Expected value	Valore atteso
Experiment	Esperimento
Explosion	Esplosione
Expo (exhibition)	Esposizione Universale
Exponential function	Funzione esponenziale
Exponentiation	Potenza (matematica)
Expressionism	Espressionismo
Extinction	Estinzione
Eye	Occhio
Eye	Categoria:Anatomia dell'occhio
Ezra Pound	Ezra Pound
F	F
F. Scott Fitzgerald	Francis Scott Fitzgerald
Fabaceae	Fabaceae
Fable	Favola
Face	Viso
Fact	Template:Citazione necessaria
Factorial	Fattoriale
Factory	Fabbrica
Facula	Macchia solare
Fado	Fado
Fagaceae	Categoria:Fagaceae
Fagales	Fagales
Fahrenheit	Fahrenheit
Fair use	Fair use
Fairy	Fata
Fairy tale	Fiaba
Falcon	Falco
Falconiformes	Accipitriformes
Falkland Islands	Isole Falkland
Fallacy	Fallacia
Fallopian tube	Tuba di Falloppio
Fallow Deer	Dama dama
Falun Gong	Falun Dafa
Family	Categoria:Famiglia
Family (biology)	Famiglia (tassonomia)
Family history	Genealogia
Family name	Cognome
Fantasy	Fantasy
Far East	Estremo Oriente
Farad	Farad
Faroe Islands	Categoria:Isole Fær Øer
Fascism	Fascismo
Fascism	Categoria:Fascismo
Fashion	Categoria:Moda
Fashion	Moda
Fast food	Fast food
Fasting	Digiuno
Fatah	Fatah
Fatty acid	Acidi grassi
Fault (geology)	Faglia
Fauna	Fauna
Fauvism	Fauves
Fax	Telefax
Fear	Paura
Feather	Piuma
February	Febbraio
February 12	12 febbraio
February 14	14 febbraio
February 2	2 febbraio
February 22	22 febbraio
February 29	29 febbraio
February Revolution	Rivoluzione di febbraio
Feces	Feci
Federal Bureau of Investigation	Federal Bureau of Investigation
Federal Reserve System	Federal Reserve
Federated States of Micronesia	Stati Federati di Micronesia
Federation	Stato federale
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora (distribuzione Linux)
Feedback	Retroazione
Feldspar	Feldspato
Felidae	Felidae
Felix Mendelssohn	Felix Mendelssohn
Feminism	Femminismo
Feminism	Categoria:Femminismo
Fencing	Scherma
Feng shui	Feng shui
Fennel	Foeniculum vulgare
Fenrir	Fenrir
Fenugreek	Trigonella foenum-graecum
Ferdinand II	Ferdinando II del Sacro Romano Impero
Ferdinand Magellan	Ferdinando Magellano
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Fermentazione
Fermentation (food)	Fermentazione
Fermion	Fermione
Fermium	Fermio
Fern	Pteridophyta
Ferrara	Ferrara
Ferry	Traghetto
Fertile Crescent	Mezzaluna Fertile
Fertilisation	Fecondazione
Fertilizer	Fertilizzante
Fetus	Feto
Feudalism	Feudalesimo
Fever	Febbre
Fiat	FIAT
Fibonacci number	Successione di Fibonacci
Fictional character	Personaggio immaginario
Fidel Castro	Fidel Castro
Field (mathematics)	Campo (matematica)
Field hockey	Hockey su prato
Fighter aircraft	Aereo da caccia
Figure skating	Pattinaggio di figura
Fiji	Figi
Fiji	Categoria:Figi
File Allocation Table	File Allocation Table
File Transfer Protocol	FTP
File system	File system
Filippo Brunelleschi	Filippo Brunelleschi
Film	Categoria:Cinema
Film	Film
Film	Portale:Cinema
Film director	Regista
Fin Whale	Balaenoptera physalus
Finance	Categoria:Finanza
Finance	Finanza
Finger	Dito
Fingerprint	Impronta digitale
Finland	Finlandia
Finland	Categoria:Finlandia
Fir	Abies
Fire	Fuoco (fisica)
Firearm	Arma da fuoco
Firefighter	Corpo Nazionale dei Vigili del fuoco
Firewall (networking)	Firewall
Firmware	Firmware
First Council of Constantinople	Concilio di Costantinopoli I
First Council of Nicaea	Concilio di Nicea I
First Crusade	Prima crociata
First Epistle to the Corinthians	Prima lettera ai Corinzi
First aid	Primo soccorso
First language	Madrelingua
Fish	Pesce
Fish	Categoria:Pesci
Fishing	Pesca (attività)
Fjord	Fiordo
Flag	Bandiera
Flagellum	Flagello (biologia)
Flamenco	Flamenco
Flamingo	Phoenicopterus
Flanders	Fiandre
Flash memory	Memoria flash
Flatulence	Flatulenza
Flatworm	Platyhelminthes
Flea	Siphonaptera
Flemish (linguistics)	Lingua fiamminga
Flint	Selce
Flip-flop (electronics)	Flip-flop
Flood	Inondazione
Floppy disk	Floppy disk
Florence	Firenze
Florence Nightingale	Florence Nightingale
Florida	Florida
Florida	Categoria:Florida
Flour	Farina
Flower	Fiore
Flowering plant	Magnoliophyta
Fluid	Fluido
Fluid mechanics	Meccanica dei fluidi
Fluorite	Fluorite
Fly	Diptera
Fog	Nebbia
Folic acid	Acido folico
Folk music	Musica popolare
Folklore	Folklore
Folklore	Categoria:Tradizioni popolari
Food	Alimento
Food additive	Additivi alimentari
Food and Agriculture Organization	Organizzazione per l'Alimentazione e l'Agricoltura
Food chain	Catena alimentare
Foot	Piede (anatomia)
Foot (unit of length)	Piede (unità di misura)
Football (soccer)	Calcio (sport)
Football (soccer)	Categoria:Calcio
Football (soccer) by country	Categoria:Il calcio nel mondo
Football (soccer) clubs	Categoria:Società calcistiche
Football (soccer) managers	Categoria:Allenatori di calcio
Football (soccer) players	Categoria:Calciatori
Football (soccer) venues	Categoria:Stadi di calcio
Forbidden City	Città proibita
Force	Forza
Forest	Foresta
Forestry	Silvicoltura
Fork	Forchetta
Form of government	Forma di governo
Formaldehyde	Formaldeide
Formic acid	Acido formico
Fornax	Fornace (costellazione)
Fort Worth	Fort Worth
Fortification	Fortezza
Fortran	Fortran
Fossil	Fossile
Fossil fuel	Combustibili fossili
Foucault pendulum	Pendolo di Foucault
Fountain	Fontana
Fourier series	Serie di Fourier
Fourth Crusade	Quarta crociata
Fractal	Frattale
Fraction (mathematics)	Frazione (matematica)
France	Francia
France	Categoria:Francia
Francis Bacon	Francesco Bacone
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis II	Francesco II del Sacro Romano Impero
Francis Poulenc	Francis Poulenc
Francis of Assisi	San Francesco d'Assisi
Franciscan	Ordine francescano
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Francio
Franco-Prussian War	Guerra franco-prussiana
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort (Kentucky)
Frankfurt	Francoforte sul Meno
Frankfurt	Categoria:Francoforte sul Meno
Frankfurt (Oder)	Francoforte sull'Oder
Frankfurt (disambiguation)	Francoforte (disambigua)
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	Federico I del Sacro Romano Impero
Frederick II	Federico II del Sacro Romano Impero
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Free State	Free State
Free will	Libero arbitrio
Freedom (philosophy)	Libertà
Freedom of speech	Libertà di parola
Freemasonry	Massoneria
Freetown	Freetown (Sierra Leone)
Freeware	Freeware
French Polynesia	Polinesia francese
French Polynesia	Categoria:Polinesia Francese
French Revolution	Rivoluzione francese
French Revolution	Categoria:Rivoluzione francese
French franc	Franco francese
French people	Categoria:Francesi
Frequency	Frequenza
Fresco	Affresco
Fresno	Fresno
Freyja	Freyja
Freyr	Freyr
Friction	Attrito
Friday	Venerdì
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Frisia (Paesi Bassi)
Frigate	Fregata (nave)
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Anura
Fructose	Fruttosio
Fruit	Frutto
Fruit	Categoria:Frutta
Fucking	Fucking
Fuel	Combustibile
Fuel cell	Pila a combustibile
Fugue	Fuga (musica)
Fukuoka	Fukuoka
Full moon	Plenilunio
Funafuti	Funafuti
Function (mathematics)	Funzione (matematica)
Fundamental	Categoria:Enciclopedia
Fundamental interaction	Interazioni fondamentali
Fundamentalism	Fondamentalismo
Fungi	Categoria:Fungi
Fungus	Funghi
Funicular	Funicolare
Funk	Funk
Furniture	Categoria:Arredamento
Furniture	Arredamento
Future	Futuro
Futurism (art)	Futurismo
Fuzzy logic	Logica fuzzy
Fyodor Dostoevsky	Fëdor Michajlovič Dostoevskij
G	G
GIMP	The GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Categoria:Gabon
Gaborone	Gaborone
Gabriel	Arcangelo Gabriele
Gabriel Lippmann	Gabriel Lippmann
Gadolinium	Gadolinio
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gea
Galatia	Galazia
Galaxy	Galassia
Galen	Galeno
Galena	Galena
Galicia (Central Europe)	Galizia (Europa centrale)
Galicia (Spain)	Galizia (Spagna)
Galilee	Galilea
Galileo (spacecraft)	Sonda Galileo
Galileo Galilei	Galileo Galilei
Gallbladder	Cistifellea
Galley	Galea
Galliformes	Galliformes
Gallium	Gallio (elemento)
Gallon	Gallone
Galway	Galway (città)
Gamal Abdel Nasser	Gamal Abd el-Nasser
Gambling	Gioco d'azzardo
Game	Gioco
Game theory	Teoria dei giochi
Gamma	Gamma (lettera)
Gamma ray	Raggi gamma
Ganesha	Gaṇeśa
Ganges	Gange
Ganja	Ganja (città)
Gansu	Gansu
Ganymede	Ganimede (mitologia)
Ganymede (moon)	Ganimede (astronomia)
Gap	Gap (Francia)
Garden	Giardino
Garden of Eden	Giardino dell'Eden
Gardening	Giardinaggio
Garfield	Garfield
Gargoyle	Gargolla
Garlic	Allium sativum
Garnet	Granato
Garonne	Garonna
Gas	Gas
Gas constant	Costante dei gas
Gas giant	Gigante gassoso
Gasoline	Benzina
Gastrointestinal tract	Apparato gastrointestinale
Gastropoda	Gastropoda
Gaul	Gallia
Gautama Buddha	Gautama Buddha
Gay	Gay
Gaza	Gaza (città)
