0 (number)	0 (число)
Cartesian product	Прямое произведение
Carthage	Карфаген
Cartography	Картография
Cartography	Категория:Картография
Cary Grant	Кэри Грант
Caryophyllales	Гвоздичноцветные
Casablanca	Касабланка
Cashew	Кешью
Casino	Казино
Caspian Sea	Каспийское море
Cassandra	Кассандра
Cassiopeia (constellation)	Кассиопея (созвездие)
Cast iron	Чугун
Caste	Каста
Castile (historical region)	Кастилия
Castle	Замок (строение)
Castling	Рокировка
Castries	Кастри
Casus belli	Casus belli
Cat	Кошка
Catalonia	Каталония (автономное сообщество)
Catalonia	Категория:Каталония
Catalysis	Катализатор
Cataphract	Катафракт
Cataract	Катаракта
Catfish	Сомообразные
Catharism	Катары
Cathedral	Собор (храм)
Catherine Parr	Парр, Екатерина
Catherine of Aragon	Екатерина Арагонская
Cathode	Катод
Catholicism	Католицизм
Cattle	Корова
Cattle Egret	Египетская цапля
Catullus	Гай Валерий Катулл
Caucasus	Кавказ
Caucasus	Категория:Кавказ
Caucasus Mountains	Кавказ
Cavalry	Кавалерия
Cave	Пещера
Caviar	Рыбья икра
Cayenne	Кайенна
Cayman Islands	Каймановы острова
Cecil Rhodes	Родс, Сесиль Джон
Cedar	Кедр
Celery	Сельдерей
Celestial mechanics	Категория:Небесная механика
Celestial mechanics	Небесная механика
Celestial sphere	Небесная сфера
Celibacy	Целибат
Cell (biology)	Клетка
Cell membrane	Клеточные мембраны
Cell nucleus	Клеточное ядро
Cell wall	Клеточная стенка
Cello	Виолончель
Cellulose	Целлюлоза
Celsius	Градус Цельсия
Cement	Цемент
Cemetery	Кладбище
Cenozoic	Кайнозой
Census	Перепись населения
Centaur	Кентавры
Centaurus	Центавр (созвездие)
Center of mass	Центр масс
Centimetre	Сантиметр
Central Africa	Центральная Африка
Central African Republic	Центральноафриканская Республика
Central African Republic	Категория:Центрально-Африканская Республика
Central America	Центральная Америка
Central America	Категория:Центральная Америка
Central Intelligence Agency	Центральное разведывательное управление
Central Park	Центральный парк (Нью-Йорк)
Central Powers	Центральные державы
Central bank	Центральный банк
Central nervous system	Центральная нервная система
Central processing unit	Процессор
Centre	Центр (регион Франции)
Centriole	Центриоль
Century	Век
Cephalopod	Головоногие
Cepheus (constellation)	Цефей (созвездие)
Ceramic	Керамика
Cerberus	Цербер
Cereal	Хлебные зерновые культуры
Cerebellum	Мозжечок
Ceres	Церера
Ceres (dwarf planet)	Церера (карликовая планета)
Ceres (mythology)	Церера (мифология)
Cerium	Церий
Cesare Borgia	Борджиа, Чезаре
Cestoda	Ленточные черви
Cetacea	Китообразные
Cetus	Кит (созвездие)
Chad	Чад (государство)
Chad	Категория:Чад
Chaffinch	Зяблик
Chair	Стул
Chalcedony	Халцедон
Chamaeleon	Хамелеон (созвездие)
Chamois	Серна
Champagne (wine)	Шампанское
Champagne-Ardenne	Шампань-Арденны
Channel Tunnel	Евротоннель
Chaos (mythology)	Хаос (мифология)
Charadriiformes	Ржанкообразные
Charlemagne	Карл Великий
Charleroi	Шарлеруа
Charles	Чарльз, принц Уэльский
Charles Baudelaire	Бодлер, Шарль
Charles Darwin	Дарвин, Чарлз Роберт
Charles Dickens	Диккенс, Чарльз
Charles Fourier	Фурье, Шарль
Charles Lindbergh	Линдберг, Чарльз
Charles Peirce	Пирс, Чарльз Сандерс
Charles Thomson Rees Wilson	Вильсон, Чарлз Томсон Риз
Charles de Gaulle	Де Голль, Шарль
Charles the Bald	Карл II Лысый
Charleston	Чарлстон (Западная Вирджиния)
Charlie Chaplin	Чаплин, Чарльз Спенсер
Charlie Parker	Паркер, Чарльз
Charlotte	Шарлотт (Северная Каролина)
Charmed	Зачарованные (телесериал)
Charon (moon)	Харон (спутник)
Charon (mythology)	Харон (мифология)
Chartres	Шартр
Chauvinism	Шовинизм
Che Guevara	Че Гевара, Эрнесто
Chechnya	Чечня
Chechnya	Категория:Чечня
Cheese	Сыр
Cheetah	Гепард
Chelyabinsk	Челябинск
Chemical bond	Химическая связь
Chemical compound	Химическое соединение
Chemical element	Химический элемент
Chemical formula	Химическая формула
Chemical reaction	Химические реакции
Chemical warfare	Химическое оружие
Chemistry	Химия
Chemistry	Категория:Химия
Chemistry	Портал:Химия
Chemnitz	Кемниц (Саксония)
Chemotherapy	Химиотерапия
Chennai	Ченнаи
Cheque	Чек
Chernobyl	Чернобыль
Cherry	Вишня
Chert	Кремень
Cherub	Херувимы
Chess	Шахматы
Chess	Категория:Шахматы
Chess opening	Дебют
Chester A. Arthur	Артур, Честер
Chestnut	Каштан
Chewing gum	Жевательная резинка
Cheyenne	Шайенн (Вайоминг)
Chi (letter)	Хи (буква)
Chiang Kai-shek	Чан Кайши
Chicago	Чикаго
Chicken	Курица
Chickenpox	Ветряная оспа
Chickpea	Нут (растение)
Chihuahua	Чиуауа
Child	Ребёнок
Childbirth	Роды
Chile	Чили
Chile	Категория:Чили
Chimborazo (volcano)	Чимборасо
Chimera (mythology)	Химера
Chimpanzee	Шимпанзе
China	Категория:Китай
China	Китай (цивилизация)
Chios	Хиос (остров)
Chiron	Хирон (мифология)
Chitin	Хитин
Chlorine	Хлор
Chloroform	Хлороформ
Chlorophyll	Хлорофилл
Chloroplast	Хлоропласт
Chocolate	Шоколад
Choir	Хор
Cholera	Холера
Cholesterol	Холестерол
Chondrichthyes	Хрящевые рыбы
Chongqing	Чунцин
Chord (music)	Аккорд
Chordate	Хордовые
Christchurch	Крайстчёрч
Christiaan Huygens	Гюйгенс, Христиан
Christian Dior	Диор, Кристиан
Christianity	Христианство
Christianity	Категория:Христианство
Christmas	Рождество Христово
Christmas Eve	Сочельник
Christmas tree	Новогодняя ёлка
Christopher Columbus	Колумб, Христофор
Christopher Marlowe	Марло, Кристофер
Chromatin	Хроматин
Chromatography	Хроматография
Chromium	Хром
Chromosome	Хромосома
Chronology	Категория:Хронология
Chuck Berry	Берри, Чак
Chukchi Sea	Чукотское море
Church	Церковь
Church of England	Англиканская церковь
Cicero	Цицерон
Ciconiiformes	Аистообразные
Cider	Сидр
Cigarette	Сигарета
Cinderella	Золушка (сказка)
Cinnabar	Киноварь
Cinnamon	Корица
Circe	Цирцея
Circinus	Циркуль (созвездие)
Circle	Окружность
Circulatory system	Кровообращение
Circumcision	Обрезание
Circus	Цирк
Cirrhosis	Цирроз печени
Citizenship	Гражданин
Citric acid	Лимонная кислота
Citric acid cycle	Цикл трикарбоновых кислот
Citrus	Цитрусовые
City-state	Город-государство
Civil war	Гражданская война
Civilization	Цивилизация
Civilization (computer game)	Civilization
Clarinet	Кларнет
Clark Gable	Гейбл, Кларк
Class	Класс
Class (biology)	Класс (биология)
Class (computer science)	Класс (программирование)
Classical mechanics	Классическая механика
Classical music	Классическая музыка
Classical music	Категория:Классическая музыка
Classicism	Классицизм
Claude Monet	Моне, Клод
Claude Shannon	Шеннон, Клод Элвуд
Claudio Monteverdi	Монтеверди, Клаудио Джованни Антонио
Claudius	Клавдий
Clavicle	Ключица
Clay	Глина
Clef	Ключ (музыка)
Clement Attlee	Эттли, Клемент
Cleopatra (disambiguation)	Клеопатра (значения)
Clergy	Духовенство
Cleveland	Кливленд (Огайо)
Client-server	Технология «клиент-сервер»
Climate	Климат
Climate	Категория:Климат
Climate change	Изменение климата
Climatology	Климатология
Climatology	Категория:Климатология
Clinical depression	Большое депрессивное расстройство
Clio	Клио
Clitoris	Клитор
Clock	Часы
Clock Tower	Биг-Бен
Cloning	Клонирование (биотехнология)
Clothing	Категория:Одежда
Clothing	Одежда
Cloud	Облако
Clove	Гвоздика (пряность)
Clover	Клевер
Clovis I	Хлодвиг I
Cnidaria	Стрекающие
Coal	Уголь
Coast	Побережье
Coat of arms	Герб
Cobalt	Кобальт
Cocaine	Кокаин
Coccinellidae	Божьи коровки
Cockatoo	Какаду
Cockroach	Таракановые
Cocktail	Коктейль
Coconut	Кокосовая пальма
Cocos (Keeling) Islands	Кокосовые острова
Codeine	Кодеин
Coffea	Кофейное дерево
Coffee	Кофе
Coffee	Категория:Кофе
Cognac (drink)	Коньяк
Cognitive psychology	Когнитивная психология
Coin	Монета
Cola	Кола
Colchis	Колхида
Cold War	Холодная война
Cold War	Категория:Холодная война
Colin Powell	Пауэлл, Колин Лютер
Collage	Коллаж
Collagen	Коллаген
Colloid	Коллоидные системы
Cologne	Кёльн
Colombia	Колумбия
Colombia	Категория:Колумбия
Colombo	Коломбо
Colonel	полковник
Colony	Колония
Color	Цвет
Color blindness	Дальтонизм
Colorado	Колорадо
Colorado	Категория:Колорадо
Colorado River	Колорадо (река)
Colosseum	Колизей
Colossus of Rhodes	Колосс Родосский
Colubrid	Ужеобразные
Columba (constellation)	Голубь (созвездие)
Columbia	Колумбия (Южная Каролина)
Columbia	Колумбия (значения)
Columbia River	Колумбия (река)
Columbia University	Колумбийский университет
Columbidae	Голубиные
Columbiformes	Категория:Голубеобразные
Columbiformes	Голубеобразные
Columbus	Колумбус (Огайо)
Columbus	Колумбус (значения)
Coma	Кома (медицина)
Coma Berenices	Волосы Вероники (созвездие)
Combustion	Горение
Comedy	Комедия
Comenius	Коменский, Ян Амос
Comet	Комета
Comma (punctuation)	Запятая
Commedia dell'arte	Комедия дель арте
Commerce	Категория:Коммерция
Common Fig	Инжир
Common cold	Острая респираторная вирусная инфекция
Commonwealth of Independent States	Содружество Независимых Государств
Commonwealth of Nations	Содружество наций
Communication	Категория:Связь
Communication	Общение
Communism	Коммунизм
Communism	Категория:Коммунизм
Comoros	Коморские острова
Comoros	Категория:Коморские острова
Compact Disc	Компакт-диск
Company (military unit)	Рота (армия)
Compass	Компас
Compass (drafting)	Циркуль
Competition	Соревнование
Compiler	Компилятор
Complex instruction set computer	CISC
Complex number	Комплексное число
Composer	Композитор
Composite material	Композиционный материал
Composite number	Составное число
Computational linguistics	Математическая лингвистика
Computed tomography	Компьютерная томография
Computer	Компьютер
Computer architecture	Архитектура компьютера
Computer display	Монитор
Computer file	Файл
Computer graphics	Категория:Компьютерная графика
Computer hardware	Компьютерная техника
Computer hardware	Категория:Аппаратное обеспечение
Computer network	Компьютерная сеть
Computer program	Компьютерная программа
Computer programming	Программирование
Computer programming	Категория:Программирование
Computer science	Информатика
Computer science	Категория:Информатика
Computer software	Программное обеспечение
Computer virus	Компьютерный вирус
Computer-aided design	Система автоматизации проектных работ
Computing	Категория:Вычислительная техника
Conakry	Конакри
Concentration	Концентрация растворов
Concerto	Концерт (произведение)
Concord	Конкорд (Нью-Хэмпшир)
Concrete	Бетон
Condom	Презерватив
Conducting	Дирижёр
Cone (geometry)	Конус
Confederate States of America	Конфедеративные Штаты Америки
Confederation	Конфедерация
Confession	Исповедь
Confirmation	Миропомазание
Conflict	Конфликт
Confucianism	Конфуцианство
Confucius	Конфуций
Congo	Конго
Congo River	Конго (река)
Conic section	Коническое сечение
Connecticut	Коннектикут
Connecticut	Категория:Коннектикут
Connective tissue	Соединительная ткань
Conquistador	Конкистадор
Consensus	Консенсус
Conservation of energy	Закон сохранения энергии
Conservatism	Консерватизм
Consonant	Согласные
Constantine I	Константин I Великий
Constellation	Созвездие
Constitution (political)	Конституция
Consul	Консул (Древний Рим)
Consumption (economics)	Потребление
Contact lens	Контактные линзы
Continent	Континент
Continental drift	Теория дрейфа материков
Continental shelf	Шельф
Contract	Договор
Contract bridge	Бридж
Convection	Конвекция
Cooking	Кулинария
Cooperative	Кооператив
Coordinate system	Система координат
Coordinated Universal Time	Универсальное координированное время
Copenhagen	Копенгаген
Copper	Медь
Copyright	Авторское право
Cor anglais	Английский рожок
Coraciiformes	Ракшеобразные
Coral	Коралл
Coral Sea	Коралловое море
Coral reef	Коралловые рифы
Coriander	Кориандр
Corinth	Коринф
Coriolis effect	Сила Кориолиса
Cork (city)	Корк
Cormorant	Баклановые
Cornea	Роговица
Cornell University	Корнелльский университет
Cornwall	Корнуолл
Corona Borealis	Северная Корона (созвездие)
Corporation	Корпорация
Corrosion	Коррозия
Corsica	Корсика
Corundum	Корунд
Corvette	Корвет
Corvidae	Врановые
Corvus (constellation)	Ворон (созвездие)
Cosmic microwave background radiation	Реликтовое излучение
Cosmic ray	Космические лучи
Cosmology	Космология
Cosmology	Категория:Космология
Costa Rica	Коста-Рика
Costa Rica	Категория:Коста-Рика
Cotonou	Котону
Cotopaxi	Котопакси
Cotton	Хлопок
Cougar	Пума
Coulomb	Кулон
Coulomb's law	Закон Кулона
Council of Chalcedon	Халкидонский собор
Council of Ephesus	Эфесский собор
Council of Trent	Тридентский собор
Counterpoint	Контрапункт
Country	Страна
Country music	Кантри
Court	Суд
Covalent bond	Ковалентная связь
Coventry	Ковентри
Coyote	Койот
Crab	Крабы
Crab Nebula	Крабовидная туманность
Crane (bird)	Журавли
Crater (constellation)	Чаша (созвездие)
Creationism	Креационизм
Cremona	Кремона
Cretaceous	Меловой период
Crete	Крит
Cricket	Крикет
Cricket (insect)	Настоящие сверчки
Crime	Преступление
Crimea	Крым
Crimean War	Крымская война
Criminal law	Категория:Уголовное право
Criminal law	Уголовное право
Criminology	Криминология
Criminology	Категория:Криминология
Croatia	Хорватия
Croatia	Категория:Хорватия
Crocodile	Настоящие крокодилы
Crocodilia	Крокодилы
Cronus	Кронос
Cross	Крест
Cross product	Векторное произведение
Crossbow	Арбалет
Crossword	Кроссворд
Crow	Вороны
Crucifixion	Распятие (казнь)
Cruiser	Крейсер
Crust (geology)	Земная кора
Crustacean	Ракообразные
Crux	Южный Крест (созвездие)
Cryptography	Криптография
Cryptography	Категория:Криптография
Crystal	Кристаллы
Crystallography	Кристаллография
Crystallography	Категория:Кристаллография
Ctenophore	Гребневики
Cuba	Куба
Cuba	Категория:Куба
Cube	Куб
Cubic metre	Кубический метр
Cubism	Кубизм
Cuculiformes	Кукушкообразные
Cucumber	Огурец обыкновенный
Cucurbitaceae	Тыквенные
Cultural Revolution	Культурная революция в Китае
Culture	Культура
Culture	Категория:Культура
Cumbria	Камбрия
Cupressaceae	Кипарисовые
Curitiba	Куритиба
Curium	Кюрий
Curling	Кёрлинг
Currency	Категория:Валюты
Currency	Валюта
Curry	Карри (блюдо)
Curve	Кривая
Cusco	Куско
Cyan	Голубой цвет
Cyanide	Цианиды
Cyanobacteria	Цианобактерии
Cybele	Кибела
Cybernetics	Кибернетика
Cyberpunk	Киберпанк
Cyclades	Киклады
Cycling	Велосипедный спорт
Cycling	Категория:Велосипедный спорт
Cyclone	Циклон
Cyclops	Циклопы
Cygnus (constellation)	Лебедь (созвездие)
Cylinder (geometry)	Цилиндр
Cyperaceae	Осоковые
Cyprinid	Карповые
Cypriniformes	Карпообразные
Cyprus	Кипр
Cyprus	Категория:Кипр
Cyrillic alphabet	Кириллица
Cyrus the Great	Кир II Великий
Cystic fibrosis	Муковисцидоз
Cytoplasm	Цитоплазма
Cytosine	Цитозин
Cytoskeleton	Цитоскелет
Czech Republic	Чехия
Czech Republic	Категория:Чехия
Czechoslovakia	Чехословакия
Czechoslovakia	Категория:Чехословакия
D	D (латиница)
D. H. Lawrence	Лоуренс, Дэвид Герберт
D. W. Griffith	Гриффит, Дэвид
DDT	ДДТ
DNA	Дезоксирибонуклеиновая кислота
DOS	DOS
DVD	DVD
Dachshund	Такса
Dada	Дадаизм
Daedalus	Дедал
Dagger	Кинжал
Daguerreotype	Дагеротипия
Dahlia	Георгина
Dakar	Дакар
Dalai Lama	Далай-лама
Dallas	Даллас
Dalmatia	Далмация
Dam	Плотина
Damascus	Дамаск
Dance	Танец
Dance	Категория:Танцы
Dandelion	Одуванчик
Daniel Bernoulli	Бернулли, Даниил
Daniel Defoe	Дефо, Даниэль
Daniel Ortega	Ортега, Даниэль
Danish krone	Датская крона
Dante Alighieri	Данте Алигьери
Danube	Дунай
Daphne	Дафна
Dar es Salaam	Дар-эс-Салам
Dardanelles	Дарданеллы
Darfur	Дарфур
Darjeeling	Дарджилинг (город)
Dark matter	Скрытая масса
Darmstadtium	Дармштадтий
Darwin	Дарвин (город)
Darwin	Дарвин
Das Kapital	Капитал (Карл Маркс)
Data	Данные
Data mining	Интеллектуальный анализ данных
Data structure	Структура данных
Database	База данных
Database management system	Система управления базами данных
Date Palm	Финиковая пальма
Dative case	Дательный падеж
Daugavpils	Даугавпилс
David	Давид
David Hilbert	Гильберт, Давид
David Hume	Юм, Дэвид
David Livingstone	Ливингстон, Давид
David Ricardo	Рикардо, Давид
Davis Cup	Кубок Дэвиса
Day	Сутки
Days	Категория:Даты
De facto	De facto
Deacon	Диакон
Dead Sea	Мёртвое море
Dead Sea scrolls	Кумранские рукописи
Deadly nightshade	Белладонна
Death	Смерть
Death	Категория:Смерть
Decade	Десятилетие
December	Декабрь
December 31	31 декабря
December 8	8 декабря
Decibel	Децибел
Decimal	Десятичная система счисления
Decius (emperor)	Деций Траян
Deco	Деку
Deconstruction	Деконструкция
Deductive reasoning	Дедуктивное умозаключение
Deer	Оленевые
Deflation	Дефляция (экономика)
Degree	Градус
Degree (angle)	Градус (геометрия)
Deimos (moon)	Деймос
Deism	Деизм
Delaware	Делавэр
Delaware	Категория:Делавэр
Delft	Делфт
Delhi	Дели
Dell	Dell
Delphi	Дельфы
Delphinus	Дельфин (созвездие)
Delta	Дельта
Delta (letter)	Дельта (буква)
Deluge (mythology)	Всемирный Потоп
Demagogy	Демагогия
Dementia	Деменция
Demeter	Деметра
Democracy	Демократия
Democratic Party (United States)	Демократическая партия США
Democratic Republic of the Congo	Демократическая Республика Конго
Democratic Republic of the Congo	Категория:Демократическая Республика Конго
Democritus	Демокрит
Demography	Демография
Demography	Категория:Демография
Demon	Демон
Demosthenes	Демосфен
Deng Xiaoping	Дэн Сяопин
Dengue fever	Лихорадка денге
Denis Diderot	Дидро, Дени
Denmark	Дания
Denmark	Категория:Дания
Dennis Gabor	Габор, Дэннис
Density	Плотность
Dental caries	Кариес зубов
Dentistry	Категория:Стоматология
Dentistry	Стоматология
Denver	Денвер (Колорадо)
Derivative	Производная функции
Dermatology	Дерматология
Des Moines	Де-Мойн (Айова)
Desert	Пустыня
Deserts	Категория:Пустыни
Desiderius Erasmus	Эразм Роттердамский
Design	Дизайн
Design	Категория:Дизайн
Desmond Tutu	Туту, Десмонд
Destroyer	Эскадренный миноносец
Determinant	Определитель
Determinism	Детерминизм
Detroit	Детройт
Deuterium	Дейтерий
Deuteronomy	Второзаконие
Developmental psychology	Психология развития
Device driver	Драйвер
Devon	Девон (графство)
Devonian	Девонский период
Dew	Роса
Dew point	Точка росы
Dhaka	Дакка
Dharma	Дхарма
Dhaulagiri	Дхаулагири
Dhole	Красный волк
Diabetes mellitus	Сахарный диабет
Diacritic	Диакритический знак
Dialect	Диалект
Dialectic	Диалектика
Dialectical materialism	Диалектический материализм
Diameter	Диаметр
Diamond	Алмаз
Diana	Диана, принцесса Уэльская
Diana (mythology)	Диана (богиня)
Diarrhea	Диарея
Diaspora	Диаспора
Diatom	Диатомовые водоросли
Dice	Игральная кость
Dicotyledon	Двудольные
Dictatorship	Диктатура
Dictionary	Словарь
Diego Rivera	Ривера, Диего
Diesel	Дизельное топливо
Diesel engine	Дизельный двигатель
Dietrich Bonhoeffer	Бонхёффер, Дитрих
Differential equation	Дифференциальное уравнение
Diffraction	Дифракция
Diffusion	Диффузия
Digestion	Пищеварение
Digestive system	Категория:Пищеварительная система
Digital	Цифровой
Digital camera	Цифровой фотоаппарат
Digital photography	Цифровая фотография
Digital subscriber line	XDSL
Dijon	Дижон
Dill	Укроп
Dimension	Размерность пространства
Dingo	Динго
Dinosaur	Динозавры
Diocese	Диоцез
Diocletian	Диоклетиан
Diode	Диод
Dionysus	Дионис
Diphtheria	Дифтерия
Diphthong	Дифтонг
Diplodocus	Диплодок
Diplomacy	Дипломатия
Diplomacy	Категория:Дипломатия
Dire Straits	Dire Straits
Direct current	Постоянный ток
Disaccharide	Дисахариды
Disambiguation	Категория:Многозначные термины
Disc jockey	Диджей
Discourse	Дискурс
Discrimination	Дискриминация
Disease	Болезнь
Distance	Расстояние
Distillation	Дистилляция
Divergence	Дивергенция
Division (mathematics)	Деление (математика)
Division (military)	Дивизия
Divorce	Развод
Dizzy Gillespie	Гиллеспи, Диззи
Djibouti	Категория:Джибути
Djibouti (city)	Джибути (город)
Dmitri Mendeleev	Менделеев, Дмитрий Иванович
Dmitri Shostakovich	Шостакович, Дмитрий Дмитриевич
Dnieper River	Днепр
Dnipropetrovsk	Днепропетровск
Doberman Pinscher	Доберман
Doctor of the Church	Учители церкви
Document	Документ
Dodecahedron	Додекаэдр
Dodecanese	Додеканес (острова)
Dodo	Дронты
Dodoma	Додома
Dog	Домашняя собака
Dogma	Догмат
Doha	Доха
Dolly (sheep)	Долли (овца)
Dolmen	Дольмен
Dolomite	Доломит
Dolphin	Дельфиновые
Domain (biology)	Домен (биология)
Domain name	Доменное имя
Dome	Купол
Domesday Book	Книга страшного суда
Domestication	Одомашнивание
Dominica	Доминика
Dominica	Категория:Доминика
Dominican Order	Доминиканцы
Dominican Republic	Доминиканская Республика
Dominican Republic	Категория:Доминиканская Республика
Domitian	Домициан
Don Quixote	Дон Кихот
Don River (Russia)	Дон
Donald Duck	Дональд Дак
Donatello	Донателло
Donato Bramante	Донато Браманте
Donetsk	Донецк
Donkey	Осёл
Door	Дверь
Dopamine	Дофамин
Doppler effect	Эффект Доплера
Dorado	Золотая Рыба (созвездие)
Doric order	Дорический ордер
Doris Lessing	Лессинг, Дорис
Dortmund	Дортмунд
Douala	Дуала (город)
Double bass	Контрабас
Douglas MacArthur	Макартур, Дуглас
Dover	Довер (Делавэр)
Dover	Дувр
Down syndrome	Синдром Дауна
Draco (constellation)	Дракон (созвездие)
Dracula	Дракула (роман)
Dragon	Дракон
Drainage basin	Речной бассейн
Drama	Драма (род литературы)
Draughts	Шашки
Dream	Сновидение
Dresden	Дрезден
Drink	Напитки
Dromedary	Одногорбый верблюд
Drought	Засуха
Drug addiction	Наркомания
Druid	Друиды
Drum	Барабан
Dualism	Дуализм
Dualism (philosophy of mind)	Дуализм
Dubai	Дубай (эмират)
Dublin	Дублин
Dubnium	Дубний
Dubrovnik	Дубровник
Duck	Утки
Dugong	Дюгонь
Duke	Герцог
Duke Ellington	Эллингтон, Дюк
Duke University	Университет Дьюка
Dune	Дюна
Dunkirk	Дюнкерк
Duodenum	Двенадцатиперстная кишка человека
Durban	Дурбан
Dushanbe	Душанбе
Dustin Hoffman	Хофман, Дастин Ли
Dutch people	Категория:Персоналии:Нидерланды
Dwight D. Eisenhower	Эйзенхауэр, Дуайт Дэвид
Dynamite	Динамит
Dynasty	Династия
Dyslexia	Дислексия
Dysprosium	Диспрозий
Dystopia	Антиутопия
E	E (латиница)
E (mathematical constant)	E (математическая константа)
E-mail	Электронная почта
E. T. A. Hoffmann	Гофман, Эрнст Теодор Амадей
ETA	ЭТА
Eagle	Орлиные
Ear	Ухо
Eared seal	Ушастые тюлени
Earless seal	Настоящие тюлени
Earth	Земля
Earth	Категория:Земля
Earth science	Науки о Земле
Earthquake	Землетрясение
East	Восток
East Africa	Восточная Африка
East China Sea	Восточно-Китайское море
East Germany	Германская Демократическая Республика
East Sussex	Восточный Сассекс
East Timor	Восточный Тимор
East Timor	Категория:Восточный Тимор
Easter	Пасха
Eastern Orthodox Church	Православие
Ebola	Геморрагическая лихорадка Эбола
Ebro	Эбро
Eccentricity (mathematics)	Эксцентриситет
Ecclesiastes	Книга Екклесиаста
Echidna	Ехидны
Echidna (mythology)	Ехидна (мифология)
Echinoderm	Иглокожие
Eclipse	Затмение
Eclipse (software)	Eclipse
Ecliptic	Эклиптика
Ecological niche	Экологическая ниша
Ecology	Экология
Ecology	Категория:Экология
Econometrics	Эконометрика
Economics	Экономика
Economics	Категория:Экономика
Economy	Экономика
Ecosystem	Экосистема
Ecuador	Эквадор
Ecuador	Категория:Эквадор
Ecumenical council	Вселенские соборы
Edgar Allan Poe	По, Эдгар Аллан
Edgar Degas	Дега, Эдгар
Edgar Rice Burroughs	Берроуз, Эдгар Райс
Edinburgh	Эдинбург
Edirne	Эдирне
Edmond Halley	Галлей, Эдмонд
Edmonton	Эдмонтон
Edmund Burke	Бёрк, Эдмунд
Edmund Hillary	Хиллари, Эдмунд
Edmund Husserl	Гуссерль, Эдмунд
Eduard Buchner	Бухнер, Эдуард
Education	Образование
Education	Категория:Образование
Edvard Grieg	Григ, Эдвард
Edvard Munch	Мунк, Эдвард
Edward Gibbon	Гиббон, Эдуард
Edward Jenner	Дженнер, Эдуард
Edward the Confessor	Эдуард Исповедник
Edwin Hubble	Хаббл, Эдвин Пауэлл
Egg (biology)	Яйцо
Eggplant	Баклажан
Egypt	Арабская Республика Египет
Egypt	Категория:Египет
Egyptian pound	Египетский фунт
Egyptology	Египтология
Eiffel Tower	Эйфелева башня
Eindhoven	Эйндховен
Einsteinium	Эйнштейний
Ejaculation	Эякуляция
El Cid	Сид Кампеадор
El Greco	Эль Греко
El Paso	Эль-Пасо
El Salvador	Сальвадор
El Salvador	Категория:Сальвадор
Elam	Элам
Elbe	Эльба (река)
Eleanor Roosevelt	Рузвельт, Элеонора
Election	Выборы
Electra	Электра
Electric charge	Электрический заряд
Electric current	Электрический ток
Electric field	Электрическое поле
Electric guitar	Электрогитара
Electric motor	Электрический двигатель
Electrical engineering	Категория:Электротехника
Electrical engineering	Электротехника
Electrical resistance	Электрическое сопротивление
Electricity	Электричество
Electricity	Категория:Электричество
Electrocardiogram	Электрокардиограмма
Electrochemistry	Электрохимия
Electrochemistry	Категория:Электрохимия
Electrolysis	Электролиз
Electrolyte	Электролит
Electromagnetic radiation	Электромагнитное излучение
Electromagnetism	Электродинамика
Electromagnetism	Категория:Электромагнетизм
Electron	Электрон
Electron microscope	Электронный микроскоп
Electronegativity	Электроотрицательность
Electronics	Электроника
Electronics	Категория:Электроника
Elegy	Элегия (литература)
Elementary particle	Элементарная частица
Elephant	Слоновые
Elevator	Лифт
Elf	Эльф
Elia Kazan	Элиа Казан
Elias Canetti	Канетти, Элиас
Elijah	Илия (пророк)
Elizabeth Taylor	Тейлор, Элизабет
Ella Fitzgerald	Фицджеральд, Элла
Ellipse	Эллипс
Ellipsis	Многоточие
Elm	Вяз
Elvis Presley	Пресли, Элвис
Embryo	Эмбрион
Embryology	Эмбриология
Emerald	Изумруд
Emilia-Romagna	Эмилия-Романья
Emiliano Zapata	Сапата, Эмилиано
Emily Dickinson	Дикинсон, Эмили
Emir	Эмир
Emma Goldman	Гольдман, Эмма
Emoticon	Смайлик
Emotion	Эмоция
Emotion	Категория:Эмоции
Empathy	Эмпатия
Empedocles	Эмпедокл Акрагантский
Emperor	Император
Emperor Penguin	Императорский пингвин
Empire	Империя
Empire State Building	Эмпайр-Стейт-Билдинг
Empiricism	Эмпиризм
Emu	Эму
Emulator	Эмуляция
Emulsion	Эмульсия
Encyclopedia	Энциклопедия
Endemism	Эндемик
Endocrine system	Эндокринная система
Endocrinology	Эндокринология
Endocrinology	Категория:Эндокринология
Energy	Энергия
Energy	Категория:Энергия
Energy (society)	Энергия
Engine	Двигатель
Engineer	Инженер
Engineering	Инженерное дело
Engineering	Категория:Технические науки
England	Англия
England	Категория:Англия
English Channel	Ла-Манш
English Civil War	Английская революция
English language	Английский язык
English language	Категория:Английский язык
English people	Категория:Персоналии:Англия
English people	Англичане
Enki	Эа (мифология)
Enrico Caruso	Карузо, Энрико
Enrico Fermi	Ферми, Энрико
Entertainment	Категория:Развлечения
Enthalpy	Энтальпия
Entomology	Энтомология
Entomology	Категория:Энтомология
Entropy	Термодинамическая энтропия
Environment	Категория:Охрана окружающей среды
Environment	Окружающая среда
Enzyme	Ферменты
Eon (geology)	Эон (геология)
Eos	Эос
Ephesus	Эфес (город)
Epic poetry	Эпос
Epicenter	Эпицентр землетрясения
Epictetus	Эпиктет
Epicurus	Эпикур
Epidemic	Эпидемия
Epidemiology	Эпидемиология
